"80098","ARTH 114A","01","History of Western Art I","","","","","","3","3:30 pm-4:45 pm","TR","Fredericksburg","CMBS","139","Och M",""
"87803","ARTH 114A","02","History of Western Art I","","","","","","3","1:00 pm-1:50 pm","MWF","Fredericksburg","MONR","116","DeLancey J",""
"80103","ARTH 115A","01","History of Western Art II","","","","","","3","10:00 am-10:50 am","MWF","Fredericksburg","MELC","207","Dreiss J",""
"81862","ARTH 115A","02","History of Western Art II","","","","","","3","11:00 am-11:50 am","MWF","Fredericksburg","MELC","207","Dreiss J",""
"87155","ARTH 118","01","History of Asian Art","","","","","","3","3:30 pm-4:45 pm","TR","Fredericksburg","MONR","116","Kim S",""
"87158","ARTH 311","01","Roman Art","","","","","","3","12:30 pm-1:45 pm","TR","Fredericksburg","MELC","207","DeLancey J",""
"80107","ARTH 315A","01","Art Museum Studies","","","","","","3","9:30 am-10:45 am","TR","Fredericksburg","MELC","207","Och M",""
"87804","ARTH 332A","01","High Renaissance & Mannerism","","","","SI","","3","11:00 am-12:15 pm","TR","Fredericksburg","MELC","207","Och M",""
"87805","ARTH 350A","01","Neoclassicism to Impressionism","","","","","","3","1:00 pm-1:50 pm","MWF","Fredericksburg","MELC","207","Dreiss J",""
"87806","ARTH 355","01","Modern Architecture","","","","","","3","2:00 pm-2:50 pm","MWF","Fredericksburg","MELC","207","Dreiss J",""
"87156","ARTH 470A4","01","Sem:Contemp Korea on Screen","","","Y","WI","","3","6:00 pm-8:45 pm","T","Fredericksburg","MELC","107","Kim S",""
"80100","ARTS 104","01","Digital Approaches to Fine Art","","","","","Y","3","12:30 pm-2:15 pm","TR","Fredericksburg","MELC","209","Robinson J",""
"84339","ARTS 104","02","Digital Approaches to Fine Art","","","","","","3","6:00 pm-7:45 pm","TR","Fredericksburg","MELC","209","Terry J",""
"81402","ARTS 105","01","Design Principles","","","","","","3","9:00 am-10:50 am","MW","Fredericksburg","MELC","102","Balestreri D",""
"81405","ARTS 105","02","Design Principles","","","","","","3","11:00 am-12:50 pm","MW","Fredericksburg","MELC","102","Laughlin L",""
CRN,Course,Sec,Title,POI,CO,PRE,ATR,WL,CR,TIME,Days,Campus,Bldg/s,Room/s,Instructor/s,Additional Requirements
"82827","ARTS 105","03","Design Principles","","","","","","3","2:00 pm-3:50 pm","MW","Fredericksburg","MELC","102","Laughlin L",""
"82830","ARTS 105","04","Design Principles","","","","","","3","9:30 am-11:15 am","TR","Fredericksburg","MELC","102","White S",""
"84925","ARTS 105","05","Design Principles","","","","","","3","12:30 pm-2:15 pm","TR","Fredericksburg","MELC","102","White S",""
"85868","ARTS 105","06","Design Principles","","","","","","3","2:30 pm-4:15 pm","TR","Fredericksburg","MELC","102","Staff A",""
"81406","ARTS 120","01","Drawing I","","","","","","3","9:00 am-11:50 am","MW","Fredericksburg","MELC","219","Musina C",""
"81407","ARTS 223","01","Ceramics I","","","Y","","","3","9:30 am-12:15 pm","TR","Fredericksburg","MELC","111","Staff A",""
"86096","ARTS 224","01","Printmaking I","","","Y","","","3","2:00 pm-4:45 pm","TR","Fredericksburg","MELC","212","Jesionowski R",""
"80119","ARTS 231A","01","Sculpture I","","","Y","","","3","9:00 am-11:50 am","MW","Fredericksburg","MELC","131","Hinkle L",""
"87936","ARTS 241A","01","Photography I","","","Y","","","3","1:00 pm-3:50 pm1:00 pm-3:50 pm","MWMW","Fredericksburg","MELCMELC","209212","Jesionowski R",""
"82486","ARTS 242","01","Painting I","","","Y","","","3","1:00 pm-3:50 pm","MW","Fredericksburg","MELC","304","Musina C",""
"87799","ARTS 381T","01","Topics: Ceramic Figure Sculptu","","","Y","","","3","1:00 pm-3:50 pm","MW","Fredericksburg","MELC","111","Balestreri D",""
"87800","ARTS 381U","01","Top: Historic Photo Processes","","","Y","","","3","9:00 am-11:50 am9:00 am-11:50 am","MWMW","Fredericksburg","MELCMELC","209212","Jesionowski R",""
"87801","ARTS 381V","01","Topics: Animation","","","Y","","","3","1:00 pm-3:50 pm","MW","Fredericksburg","MELC","209","Robinson J",""
"87802","ARTS 442","01","The Human Body","","","Y","","","3","9:30 am-12:15 pm","TR","Fredericksburg","MELC","219","Musina C",""
"84583","ARTS 474","01","Professnl Practices Studio Art","","","Y","SI,WI","","3","6:00 pm-8:30 pm","W","Fredericksburg","MELC","207","Garmon C",""
"80739","BIOL 121","01","Bio Concepts, w/lab","","","","","","4","1:00 pm-1:50 pm8:00 am-10:45 am","MWFT","Fredericksburg","JEPSJEPS","100110","Stebar M",""
"80742","BIOL 121","02","Bio Concepts, w/lab","","","","","","4","1:00 pm-1:50 pm11:00 am-1:45 pm","MWFT","Fredericksburg","JEPSJEPS","100110","Stebar M",""
"80749","BIOL 121","03","Bio Concepts, w/lab","","","","","","4","2:00 pm-4:45 pm1:00 pm-1:50 pm","WMWF","Fredericksburg","JEPSJEPS","110100","Stebar M",""
"80750","BIOL 121","04","Bio Concepts, w/lab","","","","","","4","11:00 am-11:50 am8:00 am-10:45 am","MWFR","Fredericksburg","JEPSJEPS","229110","Baker D",""
"80751","BIOL 121","05","Bio Concepts, w/lab","","","","","","4","11:00 am-1:45 pm11:00 am-11:50 am","RMWF","Fredericksburg","JEPSJEPS","110229","Baker D",""
"80752","BIOL 121","06","Bio Concepts, w/lab","","","","","","4","3:00 pm-3:50 pm8:00 am-10:50 am","MWFF","Fredericksburg","JEPSJEPS","100110","Staff A",""
CRN,Course,Sec,Title,POI,CO,PRE,ATR,WL,CR,TIME,Days,Campus,Bldg/s,Room/s,Instructor/s,Additional Requirements
"80753","BIOL 121","07","Bio Concepts, w/lab","","","","","","4","3:00 pm-3:50 pm11:00 am-1:50 pm","MWFF","Fredericksburg","JEPSJEPS","100110","Staff A",""
"80754","BIOL 121","08","Bio Concepts, w/lab","","","","","","4","2:00 pm-3:15 pm9:00 am-11:50 am","TRW","Fredericksburg","JEPSJEPS","229113","Staff A",""
"80756","BIOL 121","09","Bio Concepts, w/lab","","","","","","4","2:00 pm-3:15 pm9:00 am-11:50 am","TRF","Fredericksburg","JEPSJEPS","229113","Staff A",""
"80757","BIOL 121","10","Bio Concepts, w/lab","","","","","","4","2:00 pm-2:50 pm8:00 am-10:50 am","MWFW","Fredericksburg","JEPSJEPS","229110","Staff A",""
"80758","BIOL 121","11","Bio Concepts, w/lab","","","","","","4","2:00 pm-2:50 pm11:00 am-1:50 pm","MWFW","Fredericksburg","JEPSJEPS","229110","Staff A",""
"80759","BIOL 121","12","Bio Concepts, w/lab","","","","","","4","2:00 pm-3:15 pm11:00 am-1:45 pm","TRT","Fredericksburg","JEPSJEPS","225113","Staff A",""
"80760","BIOL 121","13","Bio Concepts, w/lab","","","","","","4","2:00 pm-3:15 pm11:00 am-1:45 pm","TRR","Fredericksburg","JEPSJEPS","225113","Staff A",""
"80761","BIOL 121","14","Bio Concepts, w/lab","","","","","","4","1:00 pm-3:50 pm10:00 am-10:50 am","WMWF","Fredericksburg","JEPSJEPS","113100","Dolby A",""
"80765","BIOL 121","15","Bio Concepts, w/lab","","","","","","4","2:00 pm-4:45 pm12:30 pm-1:45 pm","TTR","Fredericksburg","JEPSJEPS","113219","Staff A",""
"81805","BIOL 125","01","Phage Hunters I, w/lab","Y","","","HN,WI","","4","12:00 pm-1:50 pm11:00 am-11:50 am","MWMW","Fredericksburg","JEPSJEPS","314314","Lewis L",""
"80771","BIOL 210","01","Intro to Ecology and Evolution","","","Y","","","3","9:00 am-9:50 am","MWF","Fredericksburg","JEPS","451","Tomba A",""
"83784","BIOL 210","02","Intro to Ecology and Evolution","","","Y","","","3","12:00 pm-12:50 pm","MWF","Fredericksburg","JEPS","225","Tomba A",""
"87667","BIOL 210","03","Intro to Ecology and Evolution","","","Y","","","3","12:30 pm-1:45 pm","TR","Fredericksburg","JEPS","229","Antwi J",""
"87668","BIOL 210","04","Intro to Ecology and Evolution","","","Y","","","3","12:30 pm-1:45 pm","TR","Fredericksburg","JEPS","229","Antwi J",""
"84929","BIOL 260","01","The Research Process","","","Y","","","3","9:30 am-10:45 am","TR","Fredericksburg","JEPS","225","Lamphere B",""
"84930","BIOL 260","02","The Research Process","","","Y","","","3","2:00 pm-2:50 pm","MWF","Fredericksburg","JEPS","451","Griffith A",""
"84931","BIOL 260","03","The Research Process","","","Y","","","3","10:00 am-10:50 am","MWF","Fredericksburg","JEPS","229","Griffith A",""
"87463","BIOL 260","04","The Research Process","","","Y","","","3","11:00 am-12:15 pm","TR","Fredericksburg","JEPS","219","Staff A",""
"80780","BIOL 301","01","Anatomy Chordates, w/lab","","","Y","","","4","2:00 pm-4:45 pm10:00 am-10:50 am","TMWF","Fredericksburg","JEPSJEPS","102219","O'Dell D",""
"87672","BIOL 311","01","Plant Ecology, w/lab","","","Y","WI","","4","12:00 pm-12:50 pm9:30 am-12:15 pm","MWFT","Fredericksburg","JEPSJEPS","219203","Griffith A",""
"80786","BIOL 322","01","Animal Ecology, w/lab","","","Y","","","4","2:00 pm-4:45 pm12:30 pm-1:45 pm","TTR","Fredericksburg","JEPSJEPS","203225","Lamphere B",""
CRN,Course,Sec,Title,POI,CO,PRE,ATR,WL,CR,TIME,Days,Campus,Bldg/s,Room/s,Instructor/s,Additional Requirements
"82805","BIOL 322","02","Animal Ecology, w/lab","","","Y","","","4","2:00 pm-4:45 pm12:30 pm-1:45 pm","RTR","Fredericksburg","JEPSJEPS","203225","Lamphere B",""
"83420","BIOL 340","01","Cellular Biology w/ Lab","Y","","Y","","","4","9:30 am-12:15 pm9:00 am-9:50 am","TMWF","Fredericksburg","JEPSJEPS","317100","Gallik S",""
"83421","BIOL 340","02","Cellular Biology w/ Lab","Y","","Y","","","4","2:00 pm-4:45 pm9:00 am-9:50 am","TMWF","Fredericksburg","JEPSJEPS","317100","Gallik S",""
"83422","BIOL 340","03","Cellular Biology w/ Lab","Y","","Y","","","4","9:30 am-10:45 am9:00 am-11:50 am","TRW","Fredericksburg","JEPSJEPS","100317","Barra R",""
"83423","BIOL 340","04","Cellular Biology w/ Lab","Y","","Y","","","4","1:00 pm-3:50 pm12:00 pm-12:50 pm","WMWF","Fredericksburg","JEPSJEPS","317229","Staff A",""
"83424","BIOL 340","05","Cellular Biology w/ Lab","Y","","Y","","","4","11:00 am-11:50 am9:30 am-12:15 pm","MWFR","Fredericksburg","JEPSJEPS","225317","O'Dell D",""
"83425","BIOL 340","06","Cellular Biology w/ Lab","Y","","Y","","","4","2:00 pm-4:45 pm11:00 am-11:50 am","RMWF","Fredericksburg","JEPSJEPS","317225","O'Dell D",""
"87465","BIOL 340","07","Cellular Biology, w/lab","Y","","Y","","","4","12:00 pm-12:50 pm9:00 am-11:50 am","MWFF","Fredericksburg","JEPSJEPS","229317","Staff A",""
"80795","BIOL 384","01","Human Anatomy, w/lab","Y","","Y","","","4","2:00 pm-4:45 pm9:30 am-10:45 am","RTR","Fredericksburg","JEPSJEPS","102229","Waters R",""
"84935","BIOL 384","02","Human Anatomy, w/lab","Y","","Y","","","4","9:30 am-10:45 am9:00 am-11:50 am","TRF","Fredericksburg","JEPSJEPS","229102","Waters R",""
"81803","BIOL 401","01","Animal Behavior","","","Y","","","3","11:00 am-12:15 pm","TR","Fredericksburg","JEPS","229","Dolby A",""
"80800","BIOL 432","01","Virology, w/lab","Y","","Y","HN,WI","","4","12:30 pm-3:15 pm9:00 am-9:50 am","TMWF","Fredericksburg","JEPSJEPS","314314","Lewis L",""
"82809","BIOL 440","01","Biology of Cancer","","","Y","","","3","2:00 pm-3:15 pm","TR","Fredericksburg","JEPS","219","Barra R",""
"80801","BIOL 451","01","Seminar","","","","SI","","2","2:00 pm-2:50 pm","MW","Fredericksburg","JEPS","423","Barra R",""
"80802","BIOL 451","02","Seminar","","","","SI","","2","1:00 pm-1:50 pm","MW","Fredericksburg","JEPS","423","Barra R",""
"80803","BIOL 451","03","Seminar","","","","SI","","2","9:30 am-10:45 am","TR","Fredericksburg","JEPS","425","Dolby A",""
"80804","BIOL 451","04","Seminar","","","","SI","","2","9:00 am-9:50 am","MW","Fredericksburg","JEPS","425","Dolby A",""
"87669","BIOL 471A4","01","Endocrinology","","","Y","","","3","9:00 am-9:50 am","MWF","Fredericksburg","JEPS","229","Baker D",""
"87136","BIOL 472A","01","Aquatic Ecology Research Inten","","","Y","WI","","4","11:00 am-12:15 pm8:00 am-10:45 am","TRR","Fredericksburg","JEPSJEPS","109109","Tomba A",""
"87666","BIOL 472F","01","Plant and Animal Interactions","Y","","Y","","","4","1:00 pm-3:50 pm","MW","Fredericksburg","JEPS","203","Antwi J",""
"87903","BIOL 491","01","Special Problems Biology","Y","","Y","","","1","TBA","TBA","Fredericksburg","TBA","TBA","O'Dell D",""
CRN,Course,Sec,Title,POI,CO,PRE,ATR,WL,CR,TIME,Days,Campus,Bldg/s,Room/s,Instructor/s,Additional Requirements
"87916","BIOL 491","02","Special Problems Biology","Y","","Y","","","1","TBA","TBA","Fredericksburg","TBA","TBA","Waters R",""
"85623","BLAW 201","01","Legal Environment of Business","","","","","Y","3","8:00 am-9:15 am","TR","Fredericksburg","WOOD","133","Frackelton R",""
"85624","BLAW 201","02","Legal Environment of Business","","","","","Y","3","12:30 pm-1:45 pm","TR","Fredericksburg","WOOD","202","Frackelton R",""
"82609","BUAD 105","01","Perspect on Organiz in Society","","","","","Y","3","11:00 am-11:50 am","MWF","Fredericksburg","WOOD","202","Marsh J",""
"84471","BUAD 105","02","Perspect on Organiz in Society","","","","","Y","3","2:00 pm-3:15 pm","TR","Fredericksburg","WOOD","202","Burrow J",""
"80961","BUAD 350","01","Business Communication","","","Y","SI,WI","Y","3","8:00 am-9:15 am","TR","Fredericksburg","WOOD","132","Oxford S",""
"80964","BUAD 350","02","Business Communication","","","Y","SI,WI","Y","3","11:00 am-12:15 pm","TR","Fredericksburg","WOOD","132","Oxford S",""
"86190","BUAD 350","03","Business Communication","","","Y","SI,WI","Y","3","2:00 pm-3:15 pm","TR","Fredericksburg","WOOD","132","Oxford S",""
"86608","BUAD 350","04","Business Communication","","","Y","SI,WI","Y","3","6:00 pm-8:30 pm","M","Fredericksburg","WOOD","133","Lapke S",""
"87119","BUAD 360","01","The Cooperative Bus Model","","","","","Y","3","6:00 pm-8:30 pm","R","Fredericksburg","WOOD","249","Schwartz ALarochelle R",""
"87117","BUAD 464","01","Business Ethics","","","","","Y","3","11:00 am-11:50 am","MWF","Fredericksburg","WOOD","132","Chen W",""
"87680","BUAD 472C","01","Procurement Management","","","","","Y","3","6:00 pm-8:30 pm","W","Fredericksburg","WOOD","249","Caliri J",""
"87125","BUAD 473A","01","Envir of Internatnl Busi Sem","","","Y","","Y","3","10:00 am-10:50 am","MWF","Fredericksburg","WOOD","133","Chen W",""
"84330","CHEM 101","01","Foundations of Chemistry","","","Y","","","3","10:00 am-10:50 am","MWF","Fredericksburg","JEPS","454","Giancarlo L",""
"84331","CHEM 101","02","Foundations of Chemistry","","","Y","","","3","12:00 pm-12:50 pm","MWF","Fredericksburg","JEPS","454","Staff A",""
"84677","CHEM 101","03","Foundations of Chemistry","","","Y","","","3","1:00 pm-1:50 pm","MWF","Fredericksburg","JEPS","454","Staff A",""
"80126","CHEM 105A","01","Chemistry & Society I, w/lab","","","","","","4","5:00 pm-7:15 pm3:30 pm-4:45 pm","TMWF","Fredericksburg","JEPSJEPS","109229","Howes T",""
"85073","CHEM 105A","02","Chemistry & Society I, w/lab","","","","","","4","5:00 pm-7:15 pm3:30 pm-4:45 pm","RMWF","Fredericksburg","JEPSJEPS","109229","Howes T",""
"80129","CHEM 111","01","General Chem I, w/lab","","","Y","","","4","2:00 pm-2:50 pm8:00 am-10:45 am","MWFR","Fredericksburg","JEPSJEPS","100214","Crowder K",""
"80130","CHEM 111","02","General Chem I, w/lab","","","Y","","","4","2:00 pm-2:50 pm11:00 am-1:45 pm","MWFR","Fredericksburg","JEPSJEPS","100214","Crowder K",""
"80131","CHEM 111","03","General Chem I, w/lab","","","Y","","","4","2:00 pm-4:45 pm2:00 pm-2:50 pm","RMWF","Fredericksburg","JEPSJEPS","214100","Crowder K",""
CRN,Course,Sec,Title,POI,CO,PRE,ATR,WL,CR,TIME,Days,Campus,Bldg/s,Room/s,Instructor/s,Additional Requirements
"80132","CHEM 111","04","General Chem I, w/lab","","","Y","","","4","2:00 pm-4:45 pm9:30 am-10:45 am","TTR","Fredericksburg","JEPSJEPS","210454","Sharpless C",""
"80133","CHEM 111","05","General Chem I, w/lab","","","Y","","","4","2:00 pm-4:45 pm9:00 am-9:50 am","TMWF","Fredericksburg","JEPSJEPS","214219","Staff A",""
"80134","CHEM 111","06","General Chem I, w/lab","","","Y","","","4","7:30 pm-10:15 pm6:00 pm-7:15 pm","MMW","Fredericksburg","JEPSJEPS","214225","Zaccagnino C",""
"80135","CHEM 111","07","General Chem I, w/lab","","","Y","","","4","7:30 pm-10:15 pm6:00 pm-7:15 pm","WMW","Fredericksburg","JEPSJEPS","214225","Zaccagnino C",""
"85297","CHEM 111","08","General Chem I, w/lab","","","Y","","","4","7:30 pm-10:15 pm6:00 pm-7:15 pm","TTR","Fredericksburg","JEPSJEPS","214219","Gutting B",""
"85072","CHEM 112","01","General Chem II, w/lab","Y","","Y","","","4","1:00 pm-3:50 pm11:00 am-11:50 am","WMWF","Fredericksburg","JEPSJEPS","210454","Giancarlo L",""
"80139","CHEM 211","01","Organic Chem I, w/lab","Y","","Y","HN","","4","12:30 pm-3:15 pm10:00 am-10:50 am","RMWF","Fredericksburg","JEPSJEPS","213451","Oldham E",""
"80140","CHEM 211","02","Organic Chem I, w/lab","","","Y","","","4","1:00 pm-3:50 pm11:00 am-11:50 am","WMWF","Fredericksburg","JEPSJEPS","213219","Slunt K",""
"80141","CHEM 211","03","Organic Chem I, w/lab","","","Y","","","4","12:00 pm-12:50 pm8:00 am-10:45 am","MWFT","Fredericksburg","JEPSJEPS","100213","Asper J",""
"80142","CHEM 211","04","Organic Chem I, w/lab","","","Y","","","4","12:00 pm-12:50 pm11:00 am-1:45 pm","MWFT","Fredericksburg","JEPSJEPS","100213","Asper J",""
"87140","CHEM 211","05","Organic Chem I, w/lab","","","Y","","","4","2:00 pm-4:45 pm12:00 pm-12:50 pm","TMWF","Fredericksburg","JEPSJEPS","213100","Asper J",""
"81857","CHEM 253","01","Chemical Analysis I w/lab","","","Y","","","4","2:00 pm-4:45 pm11:00 am-12:15 pm","RTR","Fredericksburg","JEPSJEPS","210454","Sharpless C",""
"80145","CHEM 317","01","Biochemistry I","","","Y","","","3","10:00 am-10:50 am","MWF","Fredericksburg","JEPS","225","Reif R",""
"85070","CHEM 317","02","Biochemistry I","","","Y","","","3","10:00 am-10:50 am","MWF","Fredericksburg","JEPS","225","Reif R",""
"82319","CHEM 319","01","Biochemistry Lab I","Y","Y","Y","WI","","1","9:30 am-12:15 pm","T","Fredericksburg","JEPS","416","Reif R",""
"87627","CHEM 319","02","Biochemistry Lab I","Y","Y","Y","WI","","1","12:30 pm-3:15 pm","T","Fredericksburg","JEPS","416","Reif R",""
"80148","CHEM 383A","01","Physical Chem I","","","Y","","","3","9:00 am-9:50 am","MWF","Fredericksburg","JEPS","454","Giancarlo L",""
"80149","CHEM 387A","01","Phys Chem Lab I","Y","Y","Y","WI","","2","9:30 am-12:15 pm","T","Fredericksburg","JEPS","409","Giancarlo L",""
"80151","CHEM 423","01","Exp Methods Chem, w/lab","","","Y","WI","","4","11:00 am-11:50 am9:30 am-12:15 pm","MWFR","Fredericksburg","JEPSJEPS","451416","Oldham E",""
"87922","CHEM 491","01","Individual Study","Y","","","","","1","TBA","TBA","Fredericksburg","TBA","TBA","Giancarlo L",""
"81548","CHIN 101","01","Beginning Chinese I","","","","","","3","9:00 am-9:50 am","MWF","Fredericksburg","CMBS","004","Tang H",""
CRN,Course,Sec,Title,POI,CO,PRE,ATR,WL,CR,TIME,Days,Campus,Bldg/s,Room/s,Instructor/s,Additional Requirements
"81549","CHIN 101","02","Beginning Chinese I","","","","","","3","12:00 pm-12:50 pm","MWF","Fredericksburg","CMBS","215","Tang H",""
"81962","CHIN 201","01","Intermediate Chinese I","","","","","","3","2:00 pm-2:50 pm","MWF","Fredericksburg","CMBS","215","Tang H",""
"87870","CHIN 301","01","Advance Intermediate Chinese I","","","Y","","","3","6:00 pm-7:15 pm","TR","Fredericksburg","CMBS","211","Causarano P",""
"84940","CLAS 110","01","Grk &Roman Mythology Art & Lit","","","","","","3","2:00 pm-3:15 pm","TR","Fredericksburg","TRIN","106A","Staff A",""
"87251","CLAS 110","02","Grk &Roman Mythology Art & Lit","","","","","Y","3","11:00 am-12:15 pm","TR","Fredericksburg","TRIN","204","Gondek R",""
"87252","CLAS 110","03","Grk &Roman Mythology Art & Lit","","","","","Y","3","3:30 pm-4:45 pm","TR","Fredericksburg","TRIN","207","Gondek R",""
"87899","CLAS 110","04","Grk &Roman Mythology Art & Lit","","","","","","3","3:30 pm-4:45 pm","TR","Fredericksburg","TRIN","106A","Staff A",""
"86715","CLAS 204","01","Epic Traditions","","","","WI","Y","3","12:30 pm-1:45 pm","TR","Fredericksburg","TRIN","207","Gondek R",""
"87770","CLAS 211","01","Greek & Roman Relg","","","","","","3","2:00 pm-3:15 pm","TR","Fredericksburg","TRIN","138","Staff A","View"
"87880","CLAS 351G","01","Civic Engag in Ancient World","","","Y","","","3","3:00 pm-3:50 pm","MWF","Fredericksburg","TRIN","210","Pitts A",""
"81942","COMM 205","01","Public Speaking","","","","SI","","3","2:00 pm-3:15 pm","TR","Fredericksburg","CMBS","001","Goldman A",""
"82055","COMM 205","02","Public Speaking","","","","SI","","3","12:30 pm-1:45 pm","TR","Fredericksburg","CMBS","004","Withers L",""
"82056","COMM 205","03","Public Speaking","","","","SI","","3","2:00 pm-3:15 pm","TR","Fredericksburg","CMBS","004","Withers L",""
"85714","COMM 205","04","Public Speaking","","","","SI","","3","6:45 pm-9:15 pm","T","Fredericksburg","CMBS","112","Hartman D",""
"85922","COMM 205","05","Public Speaking","","","","SI","","3","2:00 pm-3:15 pm","TR","Fredericksburg","HCC","329","Rao P",""
"86239","COMM 206","01","Small Group Communication","","","","CE,SI","","3","9:30 am-10:45 am","TR","Fredericksburg","CMBS","003","Johnson-Young E",""
"86240","COMM 206","02","Small Group Communication","","","","CE,SI","","3","12:30 pm-1:45 pm","TR","Fredericksburg","CMBS","112","Johnson-Young E",""
"86241","COMM 209","01","Argumentation","","","","SI","","3","6:00 pm-8:45 pm","R","Fredericksburg","CMBS","111","Woodward D",""
"85715","COMM 340","01","Intro to Rhetoric & Communicat","Y","","","SI","","3","10:00 am-10:50 am","MWF","Fredericksburg","CMBS","002","Crosby E",""
"85716","COMM 340","02","Intro to Rhetoric & Communicat","Y","","","SI","","3","11:00 am-11:50 am","MWF","Fredericksburg","CMBS","002","Crosby E",""
"87810","COMM 340","03","Intro to Rhetoric & Communicat","Y","","","SI","","3","11:00 am-12:15 pm","TR","Fredericksburg","CMBS","003","Crosby E",""
CRN,Course,Sec,Title,POI,CO,PRE,ATR,WL,CR,TIME,Days,Campus,Bldg/s,Room/s,Instructor/s,Additional Requirements
"87811","COMM 370S","01","Popular Culture","","","","","","3","9:30 am-10:45 am","TR","Fredericksburg","CMBS","001","Goldman A",""
"87812","COMM 370S","02","Popular Culture","","","","","","3","11:00 am-12:15 pm","TR","Fredericksburg","CMBS","001","Goldman A",""
"87883","COMM 370T","01","Health Communication","","","","","","3","10:00 am-10:50 am","MWF","Fredericksburg","CMBS","003","Johnson-Young E",""
"87884","COMM 370T","02","Health Communication","","","","","","3","11:00 am-11:50 am","MWF","Fredericksburg","CMBS","003","Johnson-Young E",""
